id,title,description,price,image
1,Aurora Wireless Headphones,Noise-cancelling over-ear headphones,2499,product-1.jpg
2,Sleek Running Shoes,Breathable running shoes for daily training,1299,product-2.jpg
3,"Pro Laptop 14""",Lightweight laptop for creators,19999,product-3.jpg
4,Minimal Desk Lamp,Adjustable LED desk lamp,499,product-4.jpg
5,Urban Backpack 20L,Water-resistant travel backpack,799,product-5.jpg
6,Ceramic Mug Set,Set of 4 designer ceramic mugs,199,product-6.jpg
7,Bluetooth Speaker Mini,Portable speaker with deep bass,349,product-7.jpg
8,Yoga Mat Pro,Non-slip premium yoga mat,299,product-8.jpg
9,Classic Sunglasses,UV400 protection with modern frame,399,product-9.jpg
10,Portable Charger 20k,Fast charging powerbank,549,product-10.jpg
11,Noise-Isolating Earbuds,In-ear earbuds with mic,339,product-11.jpg
12,Smart LED Bulb,WiFi-enabled color bulb,129,product-12.jpg
13,Smartwatch S3,Fitness tracking & notifications,2299,product-13.jpg
14,Denim Jacket,Premium denim jacket,899,product-14.jpg
15,4K Action Camera,Capture adventures in 4K,2999,product-15.jpg
16,Wooden Shelf Decor,Handmade home decor shelf,699,product-16.jpg
17,Gaming Mouse,Ergonomic RGB gaming mouse,499,product-17.jpg
18,Leather Wallet,Handcrafted leather wallet,349,product-18.jpg
19,Wireless Charger Pad,Fast wireless charging pad,249,product-19.jpg
20,Kitchen Knife Set,Stainless steel chef knives,899,product-20.jpg
21,Noise-Cancelling Earbuds Pro,Compact and powerful earbuds,899,product-21.jpg
22,Fitness Tracker Band,Sleep & activity tracking,399,product-22.jpg
23,Canvas Tote Bag,Reusable shopper tote,199,product-23.jpg
24,Designer Lamp,Modern table lamp with fabric shade,499,product-24.jpg
